1-Minute Level Data For MVSA / DB2A
 
Date & Time,Records,Commits,Aborts,C1 Time,C2 Time,C1 TCB,C2 TCB,SQL Sent,SQL Received
2021/04/06 11:01,    17132,   131648,      125,   13348.661,     801.833,     52.792,     45.655,         0,   1454979
2021/04/06 11:02,    17899,   136917,      250,   11685.824,     711.012,     48.187,     40.583,         0,   1507699
2021/04/06 11:03,    16521,   129970,       98,   10314.163,     468.477,     44.218,     37.340,         0,   1350818
2021/04/06 11:04,    17682,   136632,       86,    9110.140,     331.200,     46.341,     39.209,         0,   1465723
2021/04/06 11:05,    16899,   128377,       76,   10492.871,     402.901,     46.670,     39.746,         0,   1422186
2021/04/06 11:06,    18059,   139978,       93,    9701.700,     355.072,     49.224,     41.989,         0,   1520865
2021/04/06 11:07,    17344,   140173,       83,    8817.808,     335.817,     47.028,     40.146,         0,   1367942
2021/04/06 11:08,    17900,   142458,      120,    9495.267,     414.657,     58.420,     51.148,         0,   1484427
2021/04/06 11:09,    18420,   146028,      117,    9204.694,     367.024,     49.394,     42.103,         0,   1458932
2021/04/06 11:10,    17852,   143875,      142,    9910.691,     405.676,     52.972,     45.578,         0,   1479048
2021/04/06 11:11,    17801,   141252,      129,   10105.712,     481.156,     59.743,     52.803,         0,   1436333
2021/04/06 11:12,    18372,   145024,      140,   11038.629,     370.331,     52.295,     45.262,         0,   1476935
2021/04/06 11:13,    17490,   138704,      117,   12923.358,     454.638,     47.362,     40.226,         0,   1573182
2021/04/06 11:14,    17092,   137413,       85,    9681.287,     411.550,     48.301,     42.122,         0,   1356821
2021/04/06 11:15,    16820,   136502,      145,   11324.400,     513.416,     50.959,     44.088,         0,   1357040
2021/04/06 11:16,    17399,   140444,      106,    9744.462,     402.621,     55.112,     47.960,         0,   1480608
2021/04/06 11:17,    17280,   141690,       90,    9475.080,     341.927,     47.753,     40.899,         0,   1441898
2021/04/06 11:18,    17192,   138433,      133,    9226.070,     429.373,     50.425,     43.948,         0,   1445583
2021/04/06 11:19,    17551,   139257,      163,   11844.405,     379.615,     46.392,     39.609,         0,   1421528
2021/04/06 11:20,    18113,   146075,      156,   10091.482,     416.649,     52.157,     44.957,         0,   1485522
